Fips,County name,2023 Typology,Total ,Biden ,Trump
48133,"Eastland County, Texas",Evangelical Hubs,8293,983,7237
48135,"Ector County, Texas",Hispanic Centers,44591,11367,32697
48137,"Edwards County, Texas",Hispanic Centers,1066,168,893
48139,"Ellis County, Texas",Exurbs,85493,27565,56717
48141,"El Paso County, Texas",Hispanic Centers,266729,178126,84331
48143,"Erath County, Texas",College Towns,16856,2916,13684
48145,"Falls County, Texas",Graying America,6133,1899,4177
48147,"Fannin County, Texas",Evangelical Hubs,15007,2655,12171
48149,"Fayette County, Texas",Graying America,12941,2661,10171
48151,"Fisher County, Texas",Aging Farmlands,1826,352,1448
48153,"Floyd County, Texas",Hispanic Centers,2039,438,1584
48155,"Foard County, Texas",Aging Farmlands,551,99,445
48157,"Fort Bend County, Texas",Urban Burbs,357514,195552,157718
48159,"Franklin County, Texas",Rural Middle America,5009,804,4161
48161,"Freestone County, Texas",Evangelical Hubs,8711,1635,6991
48163,"Frio County, Texas",Hispanic Centers,5279,2422,2823
48165,"Gaines County, Texas",Hispanic Centers,5996,576,5355
48167,"Galveston County, Texas",Urban Burbs,155060,58842,93911
48169,"Garza County, Texas",Hispanic Centers,1653,231,1413
48171,"Gillespie County, Texas",Graying America,15850,3176,12514
48173,"Glasscock County, Texas",Hispanic Centers,653,39,611
48175,"Goliad County, Texas",Aging Farmlands,3995,877,3085
48177,"Gonzales County, Texas",Hispanic Centers,7648,1948,5627
48179,"Gray County, Texas",Evangelical Hubs,7782,829,6840
48181,"Grayson County, Texas",Working Class Country,59474,14506,44163
48183,"Gregg County, Texas",Exurbs,47982,14796,32493
48185,"Grimes County, Texas",Working Class Country,12414,2833,9432
48187,"Guadalupe County, Texas",Exurbs,77619,28805,47553
48189,"Hale County, Texas",Hispanic Centers,9586,2279,7177
48191,"Hall County, Texas",Hispanic Centers,1169,168,995
48193,"Hamilton County, Texas",Working Class Country,4351,641,3616
48195,"Hansford County, Texas",Hispanic Centers,2047,166,1849
48197,"Hardeman County, Texas",Aging Farmlands,1580,241,1330
48199,"Hardin County, Texas",Working Class Country,27635,3474,23858
48201,"Harris County, Texas",Big Cities,1640818,918193,700630
48203,"Harrison County, Texas",Working Class Country,29717,7908,21466
48205,"Hartley County, Texas",Aging Farmlands,2078,195,1868
48207,"Haskell County, Texas",Graying America,2214,353,1840
48209,"Hays County, Texas",Urban Burbs,109395,59524,47680
48211,"Hemphill County, Texas",Hispanic Centers,1720,206,1486
48213,"Henderson County, Texas",Working Class Country,36317,7060,28911
48215,"Hidalgo County, Texas",Hispanic Centers,220884,128199,90527
48217,"Hill County, Texas",Working Class Country,14931,2860,11926
48219,"Hockley County, Texas",Hispanic Centers,8100,1482,6536
48221,"Hood County, Texas",Exurbs,32541,5648,26496
48223,"Hopkins County, Texas",Evangelical Hubs,15941,3046,12719
48225,"Houston County, Texas",Evangelical Hubs,9438,2314,7060
48227,"Howard County, Texas",Hispanic Centers,10241,2069,8054
48229,"Hudspeth County, Texas",Hispanic Centers,1165,371,779
48231,"Hunt County, Texas",Working Class Country,38597,8906,29163
48233,"Hutchinson County, Texas",Working Class Country,8773,965,7681
48235,"Irion County, Texas",Aging Farmlands,889,120,759
48237,"Jack County, Texas",Evangelical Hubs,3782,331,3418
48239,"Jackson County, Texas",Working Class Country,6353,1033,5231
